SALE TYPE,SOLD YEAR,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,2017,PALO ALTO,CA,94303,3850000,5,3,PALO ALTO,3716,7924,1966,,1036,,Sold,,,https://www.redfin.com/CA/Palo-Alto/880-N-California-Ave-94303/home/547269,MLSListings,ML81676761,N,Y,37.4418352,-122.1319127
PAST SALE,2017,PALO ALTO,CA,94301,7828000,5,4.5,PALO ALTO,4146,12000,1926,,1888,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1245-Hamilton-Ave-94301/home/1556150,MLSListings,ML81677756,N,Y,37.4546196,-122.1458423
PAST SALE,2017,PALO ALTO,CA,94301,6848770,5,3.5,PALO ALTO,3352,9894,1988,,2043,,Sold,,,https://www.redfin.com/CA/Palo-Alto/300-Lowell-Ave-94301/home/1801356,MLSListings,ML81675269,N,Y,37.4366014,-122.1463302
PAST SALE,2017,PALO ALTO,CA,94301,7650000,6,5,PALO ALTO,5311,10208,2001,,1440,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1736-Waverley-St-94301/home/1111800,MLSListings,ML81675271,N,Y,37.4370665,-122.1450438
PAST SALE,2017,PALO ALTO,CA,94306,5450000,6,5.5,PALO ALTO,5513,8040,2017,,989,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2801-South-Ct-94306/home/684045,MLSListings,ML81655055,N,Y,37.4284277,-122.1321346
PAST SALE,2017,PALO ALTO,CA,94303,7791000,6,6.5,PALO ALTO,7181,11658,2015,,1085,,Sold,,,https://www.redfin.com/CA/Palo-Alto/789-Northampton-Dr-94303/home/1609707,MLSListings,ML81644326,N,Y,37.4410984,-122.1370404
PAST SALE,2017,PALO ALTO,CA,94306,4800000,7,6,PALO ALTO,4266,6315,2017,,1125,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3487-Bryant-St-94306/home/1338981,MLSListings,ML81669709,N,Y,37.4208555,-122.1223074
PAST SALE,2018,PALO ALTO,CA,94303,6250000,6,6,PALO ALTO,5176,7935,2018,,1207,,Sold,,,https://www.redfin.com/CA/Palo-Alto/538-Rhodes-Dr-94303/home/542702,MLSListings,ML81694068,N,Y,37.4514623,-122.1314247
PAST SALE,2018,PALO ALTO,CA,94303,8000000,6,7,PALO ALTO,6413,10005,2017,,1247,,Sold,,,https://www.redfin.com/CA/Palo-Alto/11-Phillips-Rd-94303/home/911009,MLSListings,ML81703515,N,Y,37.4526974,-122.1355062
PAST SALE,2018,PALO ALTO,CA,94306,4175000,5,4.5,PALO ALTO,3345,8332,2009,,1248,,Sold,,,https://www.redfin.com/CA/Palo-Alto/4272-Wilkie-Way-94306/home/40176323,MLSListings,ML81697462,N,Y,37.4096553,-122.1190019
